cargo,nome_empresa,salario,local,regime_trabalista,beneficios,link,erro,datetime_execution,date_execution
Técnico de Suporte de TI,Confidencial,Faixa salarial a combinar,Florianópolis ,Regime CLT,[],https://www.vagas.com.br/vagas/v2722817/tecnico-de-suporte-de-ti,,2025-04-25 15:17:08.310166,2025-04-25
Analista Jr. de Servicedesk | TI,GWM,Faixa salarial a combinar,Iracemápolis,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio fretado', 'Previdência privada', 'Restaurante interno', 'Seguro de vida', 'Vale-alimentação']",https://www.vagas.com.br/vagas/v2727224/analista-jr-de-servicedesk-ti,,2025-04-25 15:17:08.310166,2025-04-25
Analista de Governança de TI Sênior,Brasilcap,Faixa salarial R$ 11.000 a R$ 12.000,Rio de Janeiro ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio creche', 'Cesta de natal', 'Consignado', 'Horário flexível', 'Massoterapia', 'Participação nos Lucros ou Resultados', 'Previdência privada', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2721723/analista-de-governanca-de-ti-senior,,2025-04-25 15:17:08.310166,2025-04-25
Coordenador de Automação - TI,UNIÃO QUÍMICA,Faixa salarial a combinar,São Paulo ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Cesta de natal', 'Consignado', 'Convênio com empresas parceiras', 'Previdência privada', 'Refeitório', 'Restaurante interno', 'Seguro de vida', 'Vale-alimentação', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2728830/coordenador-de-automacao-ti,,2025-04-25 15:17:08.310166,2025-04-25
10778 - Account Manager (TI),Talent Group,Faixa salarial a combinar,São Paulo ,Pessoa Jurídica,[],https://www.vagas.com.br/vagas/v2727423/10778-account-manager-ti,,2025-04-25 15:17:08.310166,2025-04-25
Analista de TI - Infraestrutura,MAGNA Executive Search,Faixa salarial a combinar,Indaiatuba ,Regime CLT,"['Assistência médica', 'Participação nos Lucros ou Resultados', 'Seguro de vida', 'Vale-alimentação', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2728992/analista-de-ti-infraestrutura,,2025-04-25 15:17:08.310166,2025-04-25
Estágio Superior - TI,Planning,Faixa salarial a combinar,Conselheiro Lafaiete ,Estágio,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Convênio com empresas parceiras', 'Seguro de vida', 'Vale-alimentação', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2729042/estagio-superior-ti,,2025-04-25 15:17:08.310166,2025-04-25
Analista de Suporte de TI Jr.,Dori Alimentos,Faixa salarial a combinar,Marília ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Cesta básica', 'Cesta de natal', 'Ginástica laboral', 'Participação nos Lucros ou Resultados', 'Programa de treinamentos', 'Restaurante interno', 'Seguro de vida', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2726799/analista-de-suporte-de-ti-jr,,2025-04-25 15:17:08.310166,2025-04-25
Coordenador de TI - Infraestrutura,Herbarium Laboratório Botânico Ltda.,Faixa salarial a combinar,Colombo ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Café da manhã', 'Consignado', 'Convênio com empresas parceiras', 'Desconto em produtos', 'Ginástica laboral', 'Participação nos Lucros ou Resultados', 'Programa de treinamentos', 'Refeitório', 'Seguro de vida', 'Vale-alimentação', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2728285/coordenador-de-ti-infraestrutura,,2025-04-25 15:17:08.310166,2025-04-25
Tecnico TI e Audiovisual,Confidencial,Faixa salarial a combinar,São Paulo ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Seguro de vida', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2728340/tecnico-ti-e-audiovisual,,2025-04-25 15:17:08.310166,2025-04-25
Analista de Infraestrutura de TI Junior,Confidencial,Faixa salarial a combinar,Divinópolis ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Vale-alimentação']",https://www.vagas.com.br/vagas/v2729416/analista-de-infraestrutura-de-ti-junior,,2025-04-25 15:17:08.310166,2025-04-25
Coordenador de Infraestrutura de TI,EDITORA GLOBO,Faixa salarial a combinar,São Paulo ,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio farmácia', 'Cesta de natal', 'Participação nos Lucros ou Resultados', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2723242/coordenador-de-infraestrutura-de-ti,,2025-04-25 15:17:08.310166,2025-04-25
"Bolsista Doutor [ciência da Computação, Engenharias, Tecnologia da Informação e Correlatas] Cba",IEL - Inova Talentos,Faixa salarial a combinar,São Paulo,Temporário,[],https://www.vagas.com.br/vagas/v2724952/bolsista-doutor-ciencia-da-computacao-engenharias-tecnologia-da-informacao-e-correlatas-cba,,2025-04-25 15:17:08.310166,2025-04-25
Programa de Entry-Level EY Tecnologia,EY,Faixa salarial a combinar,Todo o Brasil,Regime CLT,[],https://www.vagas.com.br/vagas/v2706059/programa-de-entry-level-ey-tecnologia,,2025-04-25 15:17:08.310166,2025-04-25
Analista de Segurança da Informação - TI,Confidencial,Faixa salarial a combinar,Brasília,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio combustível', 'Café da manhã', 'Consignado', 'Participação nos Lucros ou Resultados', 'Previdência privada', 'Programa de remuneração variável', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2723280/analista-de-seguranca-da-informacao-ti,,2025-04-25 15:17:08.310166,2025-04-25
